LAD10CD,period,sr
E07000141,2000,39.8885267494224
E06000033,2005,81.825189227691
E07000043,2005,162.958009272343
E06000039,2005,49.3300912931602
E06000042,2005,63.9285066768381
E08000018,2005,389.788010382917
E07000211,2000,56.7177336569059
E06000006,2005,83.2570446306173
E06000020,2005,89.2863526273562
E07000146,2005,121.821579718563
E08000023,2005,35.0484854810952
E09000027,2005,40.8721299703792
E09000002,2005,96.2822122663652
E07000125,2005,137.52299918509
E07000178,2005,133.719087314674
E08000030,2005,183.946370164065
E07000010,2005,191.211594368578
E07000170,2005,297.456891866922
E08000013,2005,225.472139030512
E07000173,2005,86.2038543882119
E09000026,2005,36.6280802775976
E07000077,2005,25.5987312459835
E07000120,2000,50.0878926980371
E06000008,2005,308.373513154712
E07000092,2005,69.1640465647786
E07000200,2005,77.0871198967721
E07000009,2005,141.5159551902
E07000038,2005,213.286386488077
E07000035,2005,168.446962952636
E09000018,2005,28.0524014216791
E07000111,2005,32.585451404751
E09000006,2005,28.1888370138827
E06000021,2005,283.563330742975
E07000193,2005,131.089882676012
E07000145,2005,148.133491214185
E08000007,2005,105.504963200171
E08000014,2005,193.081766121363
E09000022,2005,80.9685793987539
E08000001,2005,338.567025961055
E08000010,2005,178.903463791239
E08000008,2005,252.788754917786
E07000012,2005,88.1338321705966
E09000012,2005,76.6067129335113
E07000195,2005,100.931657444623
E09000010,2005,38.9822881150292
E09000030,2005,119.08414150203
E07000175,2005,124.292455379004
E08000006,2005,231.444908957925
E09000025,2005,65.9426877349734
E08000031,2005,79.7892136508164
E08000015,2005,115.505243987374
E06000032,2005,70.5641826099985
E07000066,2005,59.2483975689009
E09000031,2005,43.105036412542
E06000031,2005,176.462864322684
E07000011,2005,69.9252281618277
E07000046,2005,116.821911808976
E07000148,2005,148.396975336251
E09000014,2005,50.0133419578727
E07000028,2005,192.14502265617
E07000070,2005,41.8795544015412
E06000041,2005,28.3546017522161
E06000007,2005,128.692803542097
E07000094,2005,81.5009251051114
E07000026,2005,68.9676278094766
E07000223,2005,87.8732874854331
E07000082,2005,231.373428106242
E07000080,2005,72.2026114869505
E06000025,2005,93.1905631721614
E06000035,2005,177.116593785774
E07000180,2005,78.9335381133861
E07000106,2005,122.247097804962
E08000005,2005,274.03780122776
E06000015,2005,149.213573406877
E06000003,2005,199.311735934045
E06000002,2005,320.87066763277
E07000121,2005,338.433015011469
E06000001,2005,425.523443855873
E06000004,2005,197.206361000739
E07000065,2005,33.6753182871133
E07000213,2005,107.608087964003
E07000108,2005,100.693121366305
E07000110,2005,75.4698019008677
E09000029,2005,44.413429690416
E08000036,2005,154.491572311357
E07000239,2005,126.882237987626
E07000123,2005,488.927479504457
E07000117,2005,343.272396160605
E07000122,2005,308.64748245062
E08000034,2005,85.9035248311152
E08000033,2005,106.67002253277
E07000062,2005,231.025302954655
E07000061,2005,143.124013060616
E06000005,2005,221.154115149924
E09000015,2005,29.6700335999369
E07000237,2005,270.189088819231
E07000238,2005,184.510210500649
E06000009,2005,631.958217800945
E07000042,2005,79.6220453799154
E07000128,2005,130.466067178388
E07000126,2005,159.078603258861
E07000118,2005,270.118321473515
E09000016,2005,20.783406254422
E07000163,2005,274.835322663419
E09000024,2005,44.4391040680395
E06000019,2005,162.937261130818
E07000167,2005,54.8900597446471
E09000023,2005,50.8193437604786
E07000032,2005,92.2640894352705
E07000149,2005,31.1539396703387
E08000009,2005,89.3844725046119
E07000124,2005,59.7612746641445
E06000038,2005,83.2786147957395
E07000093,2005,19.1863482580552
E07000086,2005,44.6387016542484
E07000222,2005,77.3036319783112
E08000028,2005,64.2569654072004
E07000171,2005,421.570956462434
E06000013,2005,78.9113716649049
E09000032,2005,42.1833460268763
E06000046,2005,13.8017329896221
E07000073,2005,79.9893763256513
E07000113,2005,58.3028607862868
E07000177,2005,37.2176744878036
E07000164,2005,151.497619402488
E07000226,2005,37.5512970447485
E07000063,2005,102.509529836696
E07000130,2005,90.6283892022802
E08000024,2005,46.333508066204
E07000172,2005,94.9858098566828
E07000207,2005,52.3546760300203
E07000071,2005,42.4767347443302
E07000089,2005,52.5123084393335
E09000021,2005,81.9853838765474
E06000040,2005,39.6082294112517
E06000045,2005,17.9947559513632
E07000045,2005,44.5107157213572
E07000202,2005,88.9191312101988
E07000142,2005,72.6794119876902
E07000112,2005,36.9112672355382
E07000197,2005,80.101040282029
E07000137,2005,65.4084735870692
E07000085,2005,65.8809502285804
E07000087,2005,90.0793817815978
E06000012,2005,105.11518019181
E07000196,2005,59.4195049341157
E09000004,2005,31.3612927600478
E08000026,2005,35.2547691243876
E07000079,2005,88.6312572700045
E07000083,2005,91.1758663376068
E08000022,2005,68.0328303607641
E07000224,2005,85.3710998631531
E07000141,2005,30.2211026422993
E07000031,2005,82.0370549283601
E07000136,2005,74.3897267323863
E07000090,2005,136.898519328686
E07000219,2005,25.617863352265
E07000091,2005,25.598081521421
E07000030,2005,151.496463349188
E07000078,2005,189.27646823126
E07000236,2005,77.4085771932616
E07000102,2005,29.2612642375144
E07000037,2005,94.4706607185813
E08000017,2010,571.678850210399
E07000171,2010,389.388863868326
E09000007,2010,167.520128183157
