region,year,adj_pe,adj_lower,adj_upper,pe,lower,upper
West Midlands,2005,71.2526866689397,62.4558607792448,80.3697733949782,69.628523267484,61.0676392591868,78.7601328763343
North East,2005,75.459895074048,62.2378189831619,89.8853550892799,69.8161091422703,57.2850126295551,82.3472056549855
Yorkshire and The Humber,2006,237.347896626814,221.136518671695,254.122291044634,228.836933337383,212.912713749473,245.056045880626
West Midlands,2006,110.130164961485,99.3268389092326,121.451310295236,106.815990523331,96.3604570594067,117.561170522404
London,2006,62.4818997330609,56.1115519048218,69.1259185841427,68.5400701443597,61.5730849923231,75.6953521923973
South East,2006,51.8763673887309,45.8481558081971,58.1696156302325,51.3464833088042,45.4572809221313,57.6037608446441
East Midlands,2006,107.740160409394,95.6559927027736,120.303822109697,102.697734633203,91.2868752295139,114.454377655186
North West,2006,210.405884756522,197.096815971167,224.076255256412,207.440279150957,194.049954253382,221.050117571443
East of England,2006,49.5168829885743,42.4390149352027,56.8342890009191,49.1740266069731,42.0711116526325,56.550130598019
South West,2006,108.053552178568,96.5108713488368,119.94793169277,99.3900652228422,88.8166540289228,109.963476416762
North East,2006,83.9993733482812,69.8041935707276,99.1105652547639,77.1031972916612,64.0549639038416,90.1514306794808
Yorkshire and The Humber,2007,198.572637843591,183.363404012194,214.018848164733,190.497928225297,175.866750942248,205.429044642648
London,2007,64.0908569748391,57.4882959476027,70.7688942058427,68.1262262024604,61.2579145689698,75.1801678800993
North West,2007,205.946314087565,192.506662635975,219.034312412942,201.794685578792,188.923456985118,215.10222700615
North East,2007,71.4013483101479,58.5630440168708,85.1864027094758,65.9719195236827,54.1912196087394,78.3416544343733
South West,2007,125.548863970325,113.18085041499,138.16416462186,115.884614764297,104.23641895036,127.532810578234
East Midlands,2007,99.2430059840736,87.6257636516359,111.316882361241,93.8309891566991,83.2150743251018,105.131801719367
East of England,2007,50.5246626264127,43.310657137623,57.8931430044543,49.5582545095304,42.517191027302,56.5993179917587
West Midlands,2007,85.1828233786535,75.3497996418352,95.0396941284098,82.457364073663,72.9214784324911,91.993249714835
South East,2007,50.6699461829422,44.8020972949985,56.6834942014302,50.2772810265018,44.4480310524146,56.2886950622792
Yorkshire and The Humber,2008,209.086197785938,193.476812467414,224.495402212678,201.761194984461,186.643641469775,216.878748499147
South West,2008,110.127364444198,98.5144709230652,122.19363600548,101.696880849615,90.9919460233397,112.40181567589
South East,2008,58.9217459878787,52.5422256444973,65.4895636976834,58.2367573773492,51.9066750537243,64.5668397009742
West Midlands,2008,101.675726956688,91.1668508357782,112.650523617153,98.6571755119513,88.624242409041,108.968801201054
London,2008,53.0775109259538,47.1515694149693,59.2732403225598,55.8792044992621,49.8530157787534,62.4532285579988
North West,2008,205.420576359338,192.287516234824,218.703004828237,201.479691194881,188.438934483238,214.737793851718
North East,2008,104.863294832459,89.0581402853826,121.062173112697,96.8789136879336,82.7874353333251,112.144681905426
East of England,2008,44.3140731410682,37.4625393241213,51.2596976166981,43.5328346405276,37.0835258048939,50.2508646776461
East Midlands,2008,108.254362097774,96.2526950611839,120.659146652589,103.101728740372,91.5325578586145,115.351439085763
North West,2009,207.782262114216,194.691650700293,220.930568288141,203.395666804938,190.596701737602,216.83973006923
East of England,2009,42.7232638784098,36.1328128047564,49.6135775395923,41.9838632213871,35.5659478244871,48.6691917598245
South East,2009,51.3473667327343,45.4618315723143,57.5804297372436,50.7615401051268,45.0013653414245,56.8817257915605
North East,2009,136.497783295345,119.002046390512,155.087149581033,125.427126253539,108.429992321984,142.424260185093
Yorkshire and The Humber,2009,189.621009447136,175.200194699161,204.971038217297,182.114711388781,167.905124035198,196.324298742365
South West,2009,96.4934185208141,86.0138407259639,107.567174678513,89.7315066930196,79.9189801746853,99.833729300843
East Midlands,2009,105.979412339981,94.009212513036,117.944639272459,99.641325121171,88.4570947504273,111.164471563755
West Midlands,2009,88.7624650420333,79.1901568688975,98.7728211170833,86.167095788069,76.7165110887324,95.8956388609155
London,2009,45.2253300235209,39.7055397381976,50.8317482404443,46.8701850312791,41.1236489354901,52.6167211270681
