year,mth,all_drd,opioid_drd,non_opioid_drd,abscess,cellulitis,other_ssti,phlebitis,irid,all_staph,skin_staph,all_strep,skin_strep,tcodes,f11,other_staph,other_strep,time,covid,sstvi,invasive
2017,Sep,304,161,143,200,98,50,72,538,3071,856,1803,369,1163,76,2215,1434,69,FALSE,420,118
2017,Oct,348,173,175,158,109,52,78,526,3174,804,1940,405,1218,102,2370,1535,70,FALSE,397,129
2017,Nov,339,181,158,165,75,39,74,445,3043,732,1882,360,1139,71,2311,1522,71,FALSE,353,92
2017,Dec,430,234,196,150,74,38,81,441,3135,765,2096,364,942,60,2370,1732,72,FALSE,343,98
2018,Jan,377,190,187,171,98,33,61,501,3128,678,2391,398,972,69,2450,1993,73,FALSE,363,138
2018,Feb,346,173,173,148,97,52,68,475,2895,710,2151,406,975,63,2185,1745,74,FALSE,365,110
2018,Mar,413,207,206,141,122,29,79,480,3258,804,2288,432,1097,65,2454,1856,75,FALSE,371,109
2018,Apr,399,200,199,187,112,70,75,560,3241,808,2250,434,1162,72,2433,1816,76,FALSE,444,116
2018,May,428,223,205,169,107,76,81,580,3415,900,2328,522,1345,84,2515,1806,77,FALSE,433,147
2018,Jun,350,185,165,186,126,52,76,569,3332,846,2173,448,1318,81,2486,1725,78,FALSE,440,129
2018,Jul,377,184,193,177,142,70,87,608,3493,868,2125,482,1372,92,2625,1643,79,FALSE,476,132
2018,Aug,375,165,210,207,153,70,99,666,3459,926,2006,462,1384,87,2533,1544,80,FALSE,529,137
2018,Sep,373,188,185,182,123,68,90,577,3280,858,1876,426,1266,63,2422,1450,81,FALSE,463,114
2018,Oct,398,200,198,210,129,64,101,620,3405,935,2076,427,1205,60,2470,1649,82,FALSE,504,116
2018,Nov,389,221,168,182,122,61,92,577,3274,874,2066,426,1188,72,2400,1640,83,FALSE,457,120
2018,Dec,361,194,167,181,127,50,77,519,3270,871,2211,445,1120,73,2399,1766,84,FALSE,435,84
2019,Jan,,,,188,120,62,82,554,3373,857,2333,432,1102,55,2516,1901,85,FALSE,452,102
2019,Feb,,,,178,113,48,81,518,2945,683,2104,412,1005,61,2262,1692,86,FALSE,420,98
2019,Mar,,,,186,110,66,84,520,3252,871,2195,449,1174,74,2381,1746,87,FALSE,446,74
2019,Apr,,,,188,123,65,83,553,3354,863,2298,490,1072,78,2491,1808,88,FALSE,459,94
2019,May,,,,181,161,64,73,591,3407,886,2317,534,1289,84,2521,1783,89,FALSE,479,112
2019,Jun,,,,182,142,72,92,603,3427,918,2236,509,1255,102,2509,1727,90,FALSE,488,115
2019,Jul,,,,195,144,77,95,650,3570,959,2356,545,1282,87,2611,1811,91,FALSE,511,139
2019,Aug,,,,189,138,71,76,602,3496,880,2041,476,1263,85,2616,1565,92,FALSE,474,128
2019,Sep,,,,195,148,65,96,608,3468,935,2067,472,1140,71,2533,1595,93,FALSE,504,104
2019,Oct,,,,203,141,87,79,620,3506,886,2158,455,1208,60,2620,1703,94,FALSE,510,110
2019,Nov,,,,177,142,79,77,572,3543,930,2162,443,1058,48,2613,1719,95,FALSE,475,97
2019,Dec,,,,167,112,60,70,510,3309,802,2328,466,898,61,2507,1862,96,FALSE,409,101
2020,Jan,,,,175,137,58,80,548,3341,885,2366,481,1053,58,2456,1885,97,FALSE,450,98
2020,Feb,,,,159,131,53,64,511,3218,846,2235,465,1017,59,2372,1770,98,FALSE,407,104
2020,Mar,,,,141,106,37,51,417,2733,686,1967,413,975,52,2047,1554,99,TRUE,335,82
2020,Apr,,,,66,75,30,58,296,2082,430,1581,247,894,40,1652,1334,100,TRUE,229,67
2020,May,,,,122,112,42,72,420,2806,656,1824,380,1142,59,2150,1444,101,TRUE,348,72
2020,Jun,,,,121,96,70,79,446,2980,725,1964,363,1213,88,2255,1601,102,TRUE,366,80
2020,Jul,,,,154,103,63,75,496,3173,822,2016,433,1295,80,2351,1583,103,TRUE,395,101
2020,Aug,,,,119,111,54,56,421,3191,793,2035,427,1268,80,2398,1608,104,TRUE,340,81
2020,Sep,,,,120,95,50,65,408,3224,850,1997,415,976,77,2374,1582,105,TRUE,330,78
2020,Oct,,,,107,86,37,51,341,3276,810,2096,442,949,48,2466,1654,106,TRUE,281,60
2020,Nov,,,,109,101,32,56,373,3218,826,1940,366,936,55,2392,1574,107,TRUE,298,75
2020,Dec,,,,96,101,31,58,359,3034,719,1975,391,823,50,2315,1584,108,TRUE,286,73
2021,Jan,,,,121,74,40,50,348,2900,627,2032,382,802,44,2273,1650,109,TRUE,285,63
2021,Feb,,,,121,90,44,66,395,2868,657,1939,356,932,50,2211,1583,110,TRUE,321,74
2021,Mar,,,,106,101,42,78,411,3207,774,2078,381,1038,77,2433,1697,111,TRUE,327,84
2021,Apr,,,,112,99,53,76,398,3311,832,2205,432,1016,68,2479,1773,112,TRUE,340,58
2021,May,,,,133,125,59,57,439,3445,864,2226,463,1094,61,2581,1763,113,TRUE,374,65
2021,Jun,,,,111,89,51,60,375,3560,866,2140,416,1031,65,2694,1724,114,TRUE,311,64
2021,Jul,,,,98,119,44,65,395,3397,804,2122,396,956,59,2593,1726,115,TRUE,326,69
2021,Aug,,,,111,73,42,50,361,3149,779,2011,406,886,57,2370,1605,116,TRUE,276,85
2021,Sep,,,,115,74,53,60,390,3187,771,1945,378,866,47,2416,1567,117,TRUE,302,88
2021,Oct,,,,126,96,42,69,410,3234,789,2136,398,755,43,2445,1738,118,TRUE,333,77
2021,Nov,,,,95,87,33,57,335,3167,770,2096,424,720,35,2397,1672,119,TRUE,272,63
2021,Dec,,,,111,87,37,44,340,3271,805,2127,377,680,40,2466,1750,120,TRUE,279,61
