Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 86,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,14759,13792,13029,11610,13839,17401,17876,17414,16632,16892,16845,17356,17416,17400,17790,18480,18925,18799,18951,19475
Age 87,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,12996,12967,12079,11379,10180,12409,15185,15813,15459,14864,15061,14994,15425,15663,15502,15970,16525,16875,16912,16816
Age 88,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,11095,11271,11272,10350,9871,8917,11024,13110,13769,13623,13135,13345,13159,13709,13702,13647,14109,14596,15055,14755
Age 89,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,9211,9464,9580,9640,8789,8486,7594,9689,11222,11919,11819,11339,11499,11507,11840,11906,11818,12278,12779,13014
Aged 90+,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,31677,32628,33514,34243,34911,34975,34756,33460,34563,36999,39427,41337,41847,43805,43817,44971,45580,45667,47085,47073
All Ages,East Midlands,4011411,4036691,4055893,4071720,4091663,4108070,4120320,4132645,4152443,4168076,4189622,4221753,4255080,4291476,4329112,4366676,4404774,4441125,4471653,4507071,4537448,4567798,4598548,4637369,4677425,4725390,4771666,4804149,4835928,4865583
Age 0,East Midlands,54102,53967,51978,51555,50059,48742,49198,47845,48070,46126,44787,44921,45983,47981,48473,50286,51647,53927,53341,54140,54848,55850,54070,52919,53372,53921,52592,51377,49638,48182
Age 1,East Midlands,53773,54551,54194,51946,52236,50323,49080,49420,48445,48193,46432,45459,45477,46434,48306,48871,51001,52080,54241,53616,54145,55451,56468,54831,53800,54375,54949,53489,52147,50318
Age 2,East Midlands,52971,54140,54897,54433,52279,52403,50449,49316,50019,48796,48217,47124,46141,46019,46851,48621,49262,51571,52399,54574,53827,54711,56251,57279,55735,54672,55374,55944,54395,52889
Age 3,East Midlands,53751,53311,54428,55257,54651,52560,52449,50552,49895,50329,49194,49087,47765,46658,46318,47234,49047,49598,52045,52853,54994,54306,55362,56924,58098,56614,55732,56218,56726,54963
Age 4,East Midlands,52484,53935,53421,54598,55497,54756,52646,52365,50959,50369,50617,49894,49750,48387,47145,46588,47613,49370,49728,52410,53238,55510,54851,55943,57614,58897,57464,56527,56922,57282
Age 5,East Midlands,51938,52701,54179,53611,54809,55784,54832,52783,52691,51272,50757,51254,50551,50349,48817,47496,46913,47856,49577,49952,52717,53635,55856,55301,56479,58244,59736,58064,57177,57430
Age 6,East Midlands,51872,52120,52864,54390,53853,55104,55999,54916,53144,52873,51595,51343,51809,50941,50788,49125,47974,47226,48048,49747,50161,53025,54023,56326,55753,57010,58893,60196,58554,57612
Age 7,East Midlands,49970,52181,52349,53127,54718,54148,55367,56318,55300,53506,53092,52281,52021,52351,51266,51282,49647,48390,47420,48226,49942,50470,53404,54430,56799,56385,57662,59431,60700,58977
Age 8,East Midlands,49946,50196,52253,52434,53285,54931,54306,55524,56671,55504,53871,53700,52776,52560,52644,51590,51834,50060,48783,47642,48346,50300,50757,53876,54819,57284,56867,58182,59896,61102
Age 9,East Midlands,49929,50245,50388,52444,52586,53519,55158,54491,55894,57069,55781,54318,54263,53240,52947,53044,52097,52312,50492,49079,47804,48641,50615,51127,54290,55324,57848,57289,58607,60264
Age 10,East Midlands,51517,50103,50312,50585,52597,52740,53643,55313,54738,56128,57494,56184,54708,54647,53602,53408,53657,52452,52751,50862,49369,48036,48950,51039,51503,54721,55829,58300,57679,58932
Age 11,East Midlands,52349,51700,50193,50444,50746,52746,52827,53721,55724,54977,56577,57698,56469,55003,55145,54039,53898,54065,52794,53191,51174,49632,48371,49334,51449,51939,55113,56293,58770,58006
Age 12,East Midlands,49621,52412,51746,50258,50522,50885,52849,52845,53929,55887,55412,56571,57980,56583,55302,55526,54461,54275,54464,53199,53564,51457,49985,48668,49728,51910,52475,55487,56691,59155
Age 13,East Midlands,46061,49623,52448,51799,50330,50617,50960,52923,53176,54139,56248,55347,56625,57960,56663,55534,56077,54800,54699,54871,53521,53897,51708,50279,49036,50127,52430,52862,55869,57127
Age 14,East Midlands,45660,46264,49792,52555,51940,50505,50672,51025,53053,53350,54428,56216,55408,56677,58162,56898,55931,56480,55220,55210,55296,53988,54358,52118,50760,49559,50723,52981,53341,56357
Age 15,East Midlands,47696,45830,46375,49801,52631,52036,50448,50651,51183,52893,53500,54256,56234,55464,56803,58488,57308,56409,57074,55696,55733,55531,54240,54667,52486,51251,49953,51184,53306,53722
Age 16,East Midlands,49669,47650,45881,46361,49883,52733,51957,50483,50645,51032,53300,53367,54203,56225,55531,56975,58828,57666,56820,57569,56227,55869,55723,54531,54943,52967,51658,50326,51479,53624
Age 17,East Midlands,52046,49656,47784,45919,46441,50123,52594,51911,50384,50419,51428,53141,53485,54144,56201,55764,57360,59219,58118,57343,58249,56420,56080,56154,54845,55461,53445,52198,50752,51953
Age 18,East Midlands,55505,52059,49554,46670,44557,44904,48255,50719,52028,50234,50773,52157,54147,54624,54937,57154,56679,58194,60606,59481,58810,59393,57506,57531,57775,56404,57308,55216,54093,52973
Age 19,East Midlands,59495,56084,52899,50154,47696,45338,45148,48522,53359,53556,52381,54441,56021,58519,58371,58259,60267,60118,62642,64977,64090,64135,64058,63004,62978,64024,63785,64793,64402,63749
Age 20,East Midlands,61151,59265,55530,53318,50383,48114,46227,46784,51365,54464,54620,53909,56171,58146,60684,60423,60023,61661,61842,64944,67135,66509,65696,66316,65411,65514,66864,66246,67173,67048
Age 21,East Midlands,59370,60666,58675,56604,53251,50389,48305,46636,47185,50049,52932,54231,53647,56420,58126,60519,60234,59660,60893,61953,64869,66858,66036,65110,66372,65072,64801,65832,64380,66269
Age 22,East Midlands,62109,59416,60675,58952,56047,52683,49936,47778,45813,46354,49232,52478,53747,53831,56224,57683,59773,59235,58063,60238,61029,63643,65394,64794,64098,65303,63241,63055,63420,62427
Age 23,East Midlands,60884,61789,59118,59511,58384,55281,51937,48911,46653,44641,45649,48610,52157,53541,53785,55752,56961,58354,57580,57071,59005,59506,62245,63886,63585,62979,63731,60937,60347,60960
Age 24,East Midlands,62214,61050,61744,57967,59770,58486,55148,51720,48124,45641,44617,45327,48582,52795,54318,54089,55817,56210,57305,56878,56270,58096,58712,61184,63356,63084,62440,62342,59575,59426
Age 25,East Midlands,62260,62564,61250,60982,58232,59840,58239,54835,50219,47660,45593,44578,45475,49078,53437,54626,54485,55472,55354,56600,56337,55619,57711,58651,61150,63450,63058,61978,62118,59728
Age 26,East Midlands,63421,62544,62679,61010,61276,58688,60044,58276,54109,49881,47605,45972,45186,46120,50022,54204,55276,54456,55169,55220,56209,56099,55597,57897,58825,61375,63817,62851,61837,62382
Age 27,East Midlands,63422,63833,62887,62774,61549,61728,59264,60458,57671,54028,49819,48299,46715,45974,47207,51004,55137,55797,54419,55382,55126,56072,56359,55942,58340,59072,61695,63862,62744,62244
Age 28,East Midlands,62882,63901,64204,63472,63487,62240,62165,59788,60211,57761,53977,50412,49057,47750,47040,48040,52076,55725,55895,54552,55459,55017,56192,56721,56274,58992,59555,61706,63854,63159
Age 29,East Midlands,61463,63187,64077,64777,64001,63991,62656,62462,59516,60504,57923,54918,51486,50243,48899,48037,49112,53016,56355,56559,54995,55498,55305,56838,57387,56931,59712,59661,62051,64365
Age 30,East Midlands,60795,61937,63482,64562,65106,64376,64214,62893,62458,60011,61020,58721,55700,52126,51068,49844,48417,49751,53511,56667,56499,54830,55741,55823,57262,57978,57546,59804,60027,62568
Age 31,East Midlands,58490,60971,62050,63732,64689,65201,64383,64260,63328,62824,60620,61762,59460,56489,53168,52041,50521,49111,50076,54069,57040,56473,55248,56275,56385,57952,58556,57961,60247,60682
Age 32,East Midlands,57065,58801,61157,62285,63966,64878,65296,64478,64903,63638,63347,61127,62730,60223,57429,54186,52660,51327,49728,50443,54477,57169,56839,55739,56881,57088,58664,58951,58392,60728
Age 33,East Midlands,56291,57497,59049,61346,62651,64330,65059,65512,65048,65270,64197,63878,61586,63329,60989,58266,54580,53445,51840,50018,50659,54628,57393,57338,56184,57652,57777,59109,59303,58985
Age 34,East Midlands,54321,56691,57719,59194,61512,62823,64352,65022,65781,65347,65714,64733,64652,62229,64174,61705,58814,55350,54060,52409,50360,50710,54866,57815,57663,56829,58441,58086,59539,59658
Age 35,East Midlands,53547,54583,56842,57875,59297,61566,62864,64373,65354,66083,65689,66315,65329,65259,62843,64859,62531,59355,55818,54406,52686,50486,50954,55236,58322,58298,57608,58777,58414,60002
Age 36,East Midlands,52137,53789,54852,57076,58041,59407,61615,62932,64674,65631,66380,66262,66877,65800,65942,63516,65470,63052,59666,56323,54687,52705,50765,51318,55571,58876,58909,58014,59115,58724
Age 37,East Midlands,53657,52605,54177,55279,57492,58371,59643,61829,63242,65274,66101,67049,66913,67426,66394,66671,64091,65954,63559,60076,56533,54666,52848,51059,51791,56097,59645,59036,58250,59511
Age 38,East Midlands,53862,53801,52668,54153,55372,57499,58297,59528,62140,63397,65438,66753,67684,67352,67931,66857,67248,64482,66383,63831,60328,56762,54926,53221,51482,52331,56587,59999,59224,58558
Age 39,East Midlands,53627,53995,53922,52728,54272,55470,57518,58288,59874,62342,63790,66079,67336,68191,67897,68427,67279,67651,64682,66720,64018,60387,56999,55136,53534,51910,52807,56871,60295,59588
Age 40,East Midlands,54582,53870,54091,54121,53011,54500,55685,57720,58724,60046,62435,64293,66394,67599,68610,68207,68697,67503,67935,64586,66722,64059,60626,57097,55488,53967,52342,52954,57227,60676
Age 41,East Midlands,56743,54707,53922,54100,54166,53056,54441,55707,57853,58977,60290,62980,64647,66665,67920,68970,68620,68810,67692,68139,64530,66798,64154,60897,57375,55864,54417,52507,53252,57607
Age 42,East Midlands,58238,56791,54683,53890,54032,54132,52982,54352,55968,57969,59108,60712,63235,64882,67001,68186,69346,68659,68920,67632,68108,64531,66968,64317,61235,57802,56324,54672,52680,53540
Age 43,East Midlands,62427,58282,56841,54645,53895,54013,54091,52972,54576,56089,58213,59510,60976,63476,65275,67216,68474,69422,68818,68803,67457,68092,64599,67179,64634,61653,58271,56444,54951,52895
Age 44,East Midlands,67904,62628,58351,56971,54712,53968,54028,54138,53139,54656,56182,58596,59687,61128,63696,65543,67523,68532,69524,68717,68616,67467,68138,64742,67504,64968,61983,58444,56702,55145
Age 45,East Midlands,53171,67718,62691,58341,56992,54721,53937,53956,54117,53247,54708,56271,58793,59885,61334,63864,65641,67690,68690,69640,68740,68552,67602,68331,64891,67853,65217,62137,58580,56991
Age 46,East Midlands,53690,53266,67458,62674,58257,56926,54573,53811,53941,54180,53302,54847,56452,58875,60017,61527,63941,65831,67818,68800,69676,68809,68626,67722,68425,65126,68279,65389,62264,58685
Age 47,East Midlands,54454,53771,53434,67231,62665,58194,56873,54528,53888,53952,54252,53341,54961,56494,58838,60060,61488,64001,65878,67823,68697,69651,68915,68756,67941,68593,65447,68509,65427,62358
Age 48,East Midlands,50312,54405,53848,53542,67073,62706,58144,56840,54512,53902,53968,54333,53411,55053,56583,58943,60080,61655,64018,65889,67757,68695,69646,68939,68887,68167,68792,65578,68665,65496
Age 49,East Midlands,44960,50302,54305,53862,53618,66852,62647,58048,56806,54479,53946,54072,54470,53467,55067,56631,58814,60089,61675,64048,65856,67702,68704,69787,69152,69117,68338,69005,65813,68727
Age 50,East Midlands,41554,44845,50128,54063,53838,53691,66546,62511,58105,56764,54384,54103,54133,54492,53524,55107,56550,58961,60143,61677,64111,65901,67618,68796,69856,69279,69280,68461,69090,65809
Age 51,East Midlands,43520,41686,44874,50104,53988,53927,53774,66348,62605,58121,56767,54515,54050,54110,54570,53497,55090,56649,59024,60083,61573,63996,65771,67654,68775,70044,69455,69414,68546,69120
Age 52,East Midlands,44100,43404,41629,44725,49950,53817,53861,53774,66116,62560,58001,56817,54504,54011,54200,54649,53472,55129,56562,58914,60059,61515,63948,65763,67614,68869,70168,69560,69544,68652
Age 53,East Midlands,43601,44005,43335,41600,44658,49869,53634,53801,53817,66005,62459,58085,56792,54459,53994,54174,54643,53547,55093,56474,58826,59947,61448,63966,65870,67726,69017,70266,69573,69516
Age 54,East Midlands,42627,43513,43781,43224,41612,44609,49706,53379,53911,54054,65783,62527,58007,56670,54483,53966,54171,54741,53542,54975,56452,58686,59978,61505,64102,66002,67664,69014,70369,69490
Age 55,East Midlands,41614,42480,43344,43643,43074,41540,44486,49534,53243,53957,54110,65992,62382,57869,56559,54425,53894,54154,54723,53454,54839,56328,58626,60008,61475,64185,66079,67756,69042,70370
Age 56,East Midlands,41027,41495,42330,43241,43497,42998,41486,44355,49516,53121,53994,53928,65994,62191,57713,56445,54339,53684,54154,54724,53310,54705,56223,58664,59973,61459,64186,66148,67774,69007
Age 57,East Midlands,39761,40800,41267,42137,43049,43305,42781,41322,44234,49351,53031,53793,53633,66049,61935,57484,56271,54167,53570,54147,54648,53147,54653,56062,58626,59925,61444,64219,66003,67738
Age 58,East Midlands,39677,39593,40579,41062,41981,42910,43073,42644,41250,44162,49322,52960,53404,53390,66025,61763,57414,56042,53972,53394,54031,54440,52957,54645,55967,58565,59803,61314,64098,65960
Age 59,East Midlands,41367,39457,39306,40305,40820,41782,42625,42782,42449,41220,43995,49159,52808,53010,53034,66022,61544,57176,55868,53932,53157,53866,54205,52918,54599,55967,58569,59724,61244,63980
Age 60,East Midlands,41509,41078,39219,39093,40048,40573,41527,42442,42593,42371,41119,43930,49008,52688,52580,52672,65759,61320,56892,55710,53777,53005,53710,54043,52771,54609,56015,58323,59599,61064
Age 61,East Midlands,41092,41245,40736,39059,38952,39786,40344,41327,42234,42422,42210,40970,43800,48837,52499,52160,52178,65737,61028,56749,55349,53609,52732,53567,53945,52740,54473,55856,58134,59323
Age 62,East Midlands,40426,40663,40798,40221,38759,38610,39407,40012,41032,42149,42215,42019,40670,43561,48521,52241,51676,51765,65517,60697,56472,55106,53383,52573,53399,53842,52596,54269,55612,57975
Age 63,East Midlands,40362,39982,40149,40321,39776,38431,38223,39019,39753,40819,41877,42087,41800,40251,43073,48163,51861,51264,51345,65305,60235,56181,54795,53119,52395,53273,53675,52381,54098,55399
Age 64,East Midlands,40215,39796,39503,39632,39860,39327,38079,37855,38733,39510,40556,41687,41864,41450,39801,42678,47711,51647,50724,50858,65063,59890,55828,54623,52914,52234,53147,53339,52100,53774
Age 65,East Midlands,40606,39660,39263,39057,39177,39397,38813,37684,37521,38382,39262,40286,41349,41430,41019,39278,42210,47420,51226,50256,50294,64643,59521,55573,54295,52614,51926,52824,52972,51710
Age 66,East Midlands,40243,39905,38991,38657,38539,38606,38785,38319,37121,37082,38018,38925,39868,40909,41065,40508,38812,41891,46951,50855,49693,49871,64117,59153,55274,53935,52280,51555,52339,52641
Age 67,East Midlands,39860,39485,39145,38321,38034,37948,37995,38199,37753,36739,36683,37614,38435,39318,40383,40560,39937,38341,41332,46488,50430,49154,49466,63660,58693,54973,53414,51886,51069,51858
Age 68,East Midlands,38738,38931,38635,38243,37579,37212,37270,37315,37506,37177,36324,36179,37050,37843,38739,39698,40076,39460,37773,40890,45938,49907,48673,49075,63067,58294,54519,52990,51346,50571
Age 69,East Midlands,40020,37871,37936,37744,37386,36751,36402,36516,36537,36865,36599,35747,35551,36401,37202,38034,39048,39625,38889,37105,40314,45396,49269,48170,48544,62371,57704,53886,52379,50722
Age 70,East Midlands,41336,38977,36890,36846,36817,36488,35890,35535,35682,35849,36202,35907,35150,34879,35737,36515,37356,38465,39058,38218,36500,39663,44745,48650,47504,47957,61723,57006,53163,51675
Age 71,East Midlands,41036,40231,37918,35849,35825,35889,35599,35058,34626,34835,35128,35478,35208,34383,34124,34970,35768,36690,37770,38429,37493,35836,39000,44072,47909,46846,47250,60920,56244,52375
Age 72,East Midlands,26423,39588,38975,36732,34788,34658,34788,34540,33958,33711,34040,34201,34592,34362,33501,33292,34264,35060,35919,36976,37727,36776,35150,38340,43268,47166,46063,46499,59913,55225
Age 73,East Midlands,25061,25659,38124,37566,35414,33553,33472,33612,33393,32904,32777,33068,33199,33702,33472,32605,32493,33509,34240,35144,36189,36926,36024,34434,37641,42507,46249,45207,45669,58794
Age 74,East Midlands,26774,24046,24820,36506,36203,34103,32373,32287,32290,32221,31817,31818,32056,32249,32771,32509,31713,31664,32751,33408,34255,35389,36127,35262,33693,36871,41651,45333,44362,44683
Age 75,East Midlands,27250,25612,22962,23927,34889,34708,32704,31072,30874,31034,31157,30728,30674,30995,31270,31764,31537,30781,30798,31907,32486,33411,34507,35326,34425,32853,36034,40690,44273,43263
Age 76,East Midlands,27640,25977,24388,21959,23105,33325,33244,31377,29746,29665,29752,29862,29517,29574,29823,30113,30681,30531,29747,29943,30985,31591,32491,33597,34401,33495,31915,35124,39601,43046
Age 77,East Midlands,26294,26157,24519,23167,20903,22082,31522,31668,29913,28419,28361,28505,28538,28201,28407,28632,28934,29592,29481,28691,29027,30036,30542,31482,32572,33315,32472,30961,34154,38308
Age 78,East Midlands,23826,24783,24623,23205,21935,19685,21086,29770,30035,28428,27088,27002,27091,27251,26871,27075,27416,27816,28421,28400,27597,28009,28969,29531,30443,31463,32184,31378,29970,32948
Age 79,East Midlands,21941,22345,23293,23250,21777,20643,18563,20135,27892,28377,26960,25631,25517,25743,25790,25651,25727,26094,26539,27259,27208,26534,26915,27935,28424,29312,30282,30894,30120,28763
Age 80,East Midlands,20483,20484,20874,21636,21746,20275,19249,17426,19096,25984,26794,25365,24083,24071,24273,24410,24280,24398,24696,25257,25947,26037,25369,25730,26702,27298,28018,29035,29647,28698
Age 81,East Midlands,18686,18900,18938,19316,20081,20099,18787,17930,16212,18028,24174,25078,23730,22557,22563,22794,22971,22997,23023,23363,24037,24531,24695,24121,24378,25403,25978,26593,27705,28150
Age 82,East Midlands,17160,17154,17376,17394,17751,18525,18576,17300,16540,15010,17023,22290,23253,22078,21035,21040,21282,21419,21528,21654,21891,22636,23081,23326,22799,23091,24020,24494,25257,26088
Age 83,East Midlands,15209,15633,15599,15743,15836,16225,16862,16994,15778,15123,13774,15821,20454,21428,20438,19481,19512,19716,19847,20065,20193,20541,21206,21619,21809,21412,21687,22580,23043,23637
Age 84,East Midlands,12942,13754,14080,13980,14236,14276,14692,15314,15303,14285,13836,12606,14563,18531,19508,18740,17869,17917,18178,18402,18541,18735,19056,19783,20055,20339,19911,20168,21119,21288
Age 85,East Midlands,-,-,-,-,-,-,-,-,-,-,12715,12513,11367,13288,16707,17694,17088,16349,16402,16726,16916,17102,17068,17619,18056,18529,18717,18307,18677,19314
Age 86,East Midlands,-,-,-,-,-,-,-,-,-,-,12150,11309,11109,10148,12066,14901,15829,15421,14857,14928,15154,15406,15494,15555,15907,16468,16946,17052,16763,16929
Age 87,East Midlands,-,-,-,-,-,-,-,-,-,-,10634,10698,9965,9692,8975,10819,13191,14040,13706,13423,13400,13670,13856,14005,13932,14328,14816,15210,15467,14955
Age 88,East Midlands,-,-,-,-,-,-,-,-,-,-,8981,9295,9344,8674,8437,7832,9666,11382,12288,12217,11934,11943,12129,12367,12352,12331,12632,13211,13542,13553
Age 89,East Midlands,-,-,-,-,-,-,-,-,-,-,7451,7697,7913,8035,7406,7262,6725,8534,9709,10730,10672,10417,10392,10689,10758,10892,10757,10997,11689,11667
Aged 90+,East Midlands,-,-,-,-,-,-,-,-,-,-,25548,26431,27323,28084,28829,28975,29186,28706,29939,32170,34790,36970,38371,40042,40576,41626,42247,42231,43609,43796
All Ages,West Midlands,5229699,5237375,5245930,5249295,5256911,5263046,5262278,5271352,5271959,5269626,5280727,5301243,5325475,5346376,5380687,5415521,5451924,5496240,5528007,5565866,5608667,5642763,5675030,5713439,5755032,5810773,5860706,5900757,5934037,5961929
Age 0,West Midlands,74045,72988,69815,69336,66838,66051,67279,65276,63854,61959,59738,60684,62215,64644,65872,66732,68639,71486,70919,70742,72104,73816,72579,70967,69963,71041,70442,68698,66763,65016
Age 1,West Midlands,72351,74010,72877,69404,69361,66857,66024,67265,65109,63796,61978,60336,60972,62328,64865,66095,67237,68928,71674,70994,70782,72442,74422,73189,71769,70920,71950,71246,69480,67572
Age 2,West Midlands,71384,72381,73994,72574,69346,69105,66578,65977,67178,65076,63832,62648,60893,61174,62561,65095,66477,67754,69163,71822,71163,71196,73016,74985,73964,72668,71855,72726,71944,70187
Age 3,West Midlands,72062,71433,72502,73951,72456,69316,68842,66576,66349,67160,65271,64313,63216,61280,61467,62793,65319,66802,68183,69319,72046,71576,71632,73598,75651,74859,73506,72546,73411,72616
Age 4,West Midlands,70904,72130,71544,72547,74081,72405,69172,68659,66676,66417,67172,65765,64862,63673,61668,61679,63048,65546,66970,68572,69635,72331,71952,72109,74187,76267,75601,74180,73056,73866
Age 5,West Midlands,70405,71025,72335,71615,72705,74249,72308,69256,68685,66592,66609,67786,66323,65242,64020,62019,61838,63241,65698,67218,68870,70017,72712,72437,72531,74894,76942,76102,74695,73507
Age 6,West Midlands,70400,70405,71121,72332,71777,72872,74196,72222,69255,68501,66570,67124,68308,66717,65572,64270,62424,62143,63389,65802,67271,69179,70402,73104,72909,73033,75457,77485,76572,75070
Age 7,West Midlands,67237,70272,70325,71148,72413,71796,72795,74157,72254,69107,68380,66984,67562,68774,67046,65827,64671,62883,62310,63571,65841,67471,69499,70832,73475,73340,73463,75946,77845,76960
Age 8,West Midlands,68216,67143,70234,70267,71247,72439,71778,72897,74350,72029,69137,68810,67520,67987,69198,67378,66217,65085,63319,62528,63754,66094,67831,69785,71118,73917,73786,74035,76225,78156
Age 9,West Midlands,66764,68066,67131,70147,70252,71361,72450,71878,72915,74284,72019,69516,69311,67890,68473,69555,67830,66602,65382,63715,62694,63972,66370,68135,70128,71571,74445,74207,74338,76524
Age 10,West Midlands,67865,66730,68067,67194,70274,70365,71469,72566,71925,72919,74323,72449,69844,69682,68372,68854,69912,68276,66853,65813,64101,62936,64238,66685,68445,70609,72042,74845,74537,74680
Age 11,West Midlands,69028,67829,66785,68033,67300,70342,70335,71544,72564,71948,72956,74650,72822,70055,70186,68768,69346,70320,68664,67219,66181,64374,63199,64519,67081,68937,71060,72532,75197,74840
Age 12,West Midlands,66031,68779,67755,66672,67933,67280,70111,70254,71491,72412,71888,72976,74862,72954,70305,70575,69246,69741,70756,69060,67606,66394,64646,63580,64843,67584,69349,71526,72890,75579
Age 13,West Midlands,60669,65928,68760,67668,66656,67947,67228,70168,70340,71515,72444,71776,72928,74820,73290,70588,71080,69673,70094,71220,69551,67819,66632,64995,63988,65211,67971,69801,71919,73145
Age 14,West Midlands,59703,60436,65864,68671,67608,66623,67690,67220,70005,70160,71585,72109,71739,72676,75075,73528,70859,71612,70119,70558,71710,69780,68182,66956,65384,64415,65600,68451,70173,72287
Age 15,West Midlands,63104,59791,60512,65809,68621,67614,66468,67654,67204,69807,70281,71226,72101,71730,72820,75496,74138,71441,72429,70672,71215,71941,70067,68448,67359,65846,64845,66025,68799,70581
Age 16,West Midlands,65449,62981,59838,60464,65776,68633,67453,66538,67469,67129,70117,70184,71172,72108,71833,73145,76057,74864,72063,73192,71409,71470,72121,70350,68795,67851,66239,65245,66339,69045
Age 17,West Midlands,68619,65402,63077,59822,60525,65923,68334,67481,66267,67206,67544,70182,70342,71184,72212,72110,73549,76641,75675,72758,74031,71599,71664,72414,70823,69387,68351,66743,65620,66699
Age 18,West Midlands,73675,68113,64933,61812,58548,58853,63903,66677,66471,65064,66636,67665,70727,70583,71418,72560,72775,74250,77654,76703,73809,74442,72087,72288,73357,71890,70599,69664,67615,66786
Age 19,West Midlands,77912,72981,67180,64400,61874,58436,58347,64008,66671,66052,65877,66415,67521,70235,70332,71259,72456,72544,74655,78033,77237,74135,74681,73066,74055,75524,73665,73628,72384,70690
Age 20,West Midlands,80600,77067,72078,66583,63462,60907,57459,58635,63280,66639,66589,66270,66869,67627,70533,70941,71357,72596,72162,75261,79003,77751,74705,75688,74583,75874,76922,75134,74767,73999
Age 21,West Midlands,79692,80249,76934,72053,66798,63542,60456,58282,59033,62562,66235,67210,66442,67770,68535,71838,72179,72076,72737,73735,77251,80130,78629,76044,77116,76430,77316,78121,76507,76141
Age 22,West Midlands,81599,79275,79842,75711,71333,66085,62413,59648,58065,58233,62125,66938,67873,67720,69242,70459,73456,73628,72489,74397,75994,78524,81093,79832,77648,79261,78305,78956,79028,77683
Age 23,West Midlands,81103,81332,78985,78811,75684,70951,65443,61762,60045,57558,57922,62532,67367,68732,68946,70888,71668,74194,73491,73116,75547,76763,79245,82426,80876,79179,80448,79155,79616,79999
Age 24,West Midlands,82255,80552,80730,77872,78521,75235,70027,64712,61402,59212,57698,58377,63420,68373,69944,70349,72035,72438,74127,74113,73861,75788,76882,79633,82813,81894,79893,81008,79444,79980
Age 25,West Midlands,82690,82024,80411,80255,78059,78448,74943,69713,64307,61392,59499,58069,59052,63890,69518,70469,70742,72601,71733,73771,73989,74098,76015,77075,80029,83771,82602,80217,81114,80069
Age 26,West Midlands,84095,81955,81459,79745,79945,77786,77805,74612,68938,64136,61719,60159,58862,59504,65062,70399,71147,71181,72394,71483,73903,74099,74072,75892,77595,80925,84435,83009,80298,81611
Age 27,West Midlands,83116,83550,81805,81379,79952,80094,77789,77968,74101,68839,64769,62270,61050,59481,60580,66085,71484,71774,71042,72473,71527,73936,74159,74163,76259,78546,81453,84635,82940,80768
Age 28,West Midlands,81450,82398,82973,81718,81531,80217,79986,78053,77280,74126,69149,65525,63128,61649,60601,61445,67123,72547,71847,71189,72829,71697,74017,74324,74670,77046,79102,81702,84722,83244
Age 29,West Midlands,80127,80957,82065,83042,81920,81816,80259,80205,77542,77067,74432,69813,66389,63648,62799,61480,62590,68235,72822,72279,71773,72831,71745,74386,74883,75750,77643,79526,81739,85030
Age 30,West Midlands,78442,79599,80523,81869,82758,81880,81558,80202,79652,77695,77461,74680,70432,66747,64540,63661,62040,63572,68620,73080,72462,71817,72888,71890,74689,75718,76388,77975,79636,82012
Age 31,West Midlands,73915,78100,79416,80556,81713,82662,81723,81588,80028,79516,78012,77913,75085,70663,67480,65197,64091,62839,64019,68953,73438,72301,71985,72899,72243,75459,76462,76777,78000,79824
Age 32,West Midlands,72819,73651,77819,79199,80327,81562,82315,81652,81333,79984,79628,78204,78349,75285,71386,68105,65618,64994,63266,64335,69545,73438,72489,72010,73471,72904,75976,76794,77071,78490
Age 33,West Midlands,71780,72795,73688,77751,79089,80310,81344,82269,81510,81280,80222,79873,78655,78626,75862,72150,68483,66484,65588,63636,64811,69418,73525,72593,72363,73983,73603,76218,76922,77369
Age 34,West Midlands,69526,71549,72560,73398,77338,78835,79837,81074,81896,81454,81479,80500,80277,78765,79395,76345,72426,69279,66865,66020,64104,64816,69540,73880,73089,72859,74644,73939,76439,77249
Age 35,West Midlands,67744,69377,71434,72462,73235,77165,78572,79649,80934,81606,81395,81714,80941,80681,79275,79929,76947,73016,69545,67171,66434,64032,64793,69605,74151,73534,73139,74828,73943,76471
Age 36,West Midlands,66602,67670,69429,71467,72401,73233,76944,78553,79468,80837,81777,81727,81942,81047,81126,79621,80504,77533,73438,69823,67517,66333,63973,64885,69938,74628,73963,73432,74993,74143
Age 37,West Midlands,68731,66517,67640,69427,71326,72306,73025,76752,78265,79122,80738,82037,82108,82026,81329,81424,79927,80721,77721,73644,70186,67431,66415,64074,64982,70361,74972,74079,73593,74992
Age 38,West Midlands,68739,68713,66581,67700,69444,71406,72229,73109,76752,78208,79250,80871,82292,82200,82353,81527,81767,80168,80867,77874,73861,70145,67536,66525,64310,65436,70827,75083,74049,73616
